,Title,Reviews_x,Most_Common_Gender_Cast,Most_Common_Gender_Directors
128,Ultraman,"""[It] moves at a frenetic pace. The tight pacing adds to the suspense of it all (...) 'Ultraman' dazzles with its captivating story"" , ""There’s a lot to like in this new series (...) The CG animation is solid for the most part, thanks to Production I.G.’s veteran studio talent, and it allows for incredibly detailed and varied environments"" ",Men,Men
129,Outer Banks,"""[It] veers between stupid, ridiculous and, in little bursts, fun."" , ""Inconsistent but generally fun (...) The young cast here is surprisingly charismatic (...) Consider it 'Pandemic Worthy'."" , ""In between its crazy adventures and endless bathing suit scenes lies one of the most fun teen dramas that has premiered in months."" , ""[A] series that with some writing consistency could be considered a satisfactory success. Its convoluted quality in the first half is what lets it down. (…) Rating: ★★★ (out of 5)"" , ""A successful coming-of-age story amid an intriguing mystery (…) Rating: ★★★★ (out of 5)"" , ""[It] is incredibly fun (...) But the show’s biggest mistake is its tendency to prioritize the hunt over the hunters (...) While the acting is solid across the board, weak stabs at transcending tropes and stock types never reach their full potential."" , ""Slick and smartly crafted, the first episode of Outer Banks is likely to hook a lot of viewers."" , ""A fun premise is hampered by clunky writing—but you could do worse during quarantine."" , ""[It] has it all: class warfare, a high-stakes treasure hunt, and forbidden romance—making it one of the platform’s most binge-worthy TV shows this spring (…) Rating: ★★★½ (out of 5)"" ",Men,Women
130,Locke & Key,"""For a show that deals so intently with loss — of loved ones, of innocence — 'Locke & Key' is a surprisingly rewarding endeavor"" , ""A fun dark fantasyt that doesn’t unlock its full potential (...) Visually, Locke & Key is a wonder to behold (...) Rating: ★★★ (out of 4)"" , ""Plays it too safe (...) Locke & Key's strongest moments are so good they suggest the material might have worked better away from the sprawl of a streaming series"" , ""An enjoyable binge that's easily digestible for fans and newcomers alike, but those who were hoping for a wholly faithful adaptation may feel frustrated by some key changes."" , ""Often entertaining, but more often uneven in tone and target demo (...) Overall, 'Locke & Key' struggles to establish the stakes for the series"" , ""An appealing teen adventure series about magic and mysterious family secrets that’s engaging and easy enough to breeze through in a couple sittings."" , ""A magical, coming-of-age horror that’s an absolute joy (...)  Beautiful to look at, with characters it’s easy to root for, this ten part series of 50-odd minute episode is highly addictive"" , ""While the season feels toned down from the source material at times, it captures the essence of what made the comic book great, even managing to improve it in some ways."" , ""It likely won’t appease the diehard genre fans, but it does offer a solid entry point for the budding fan (...) Locke & Key is a bit sluggish to start, but it’s at least headed in the right direction."" ",Men,Men
131,She-Ra and the Princesses of Power,"""[3rd Season Review]: It all brilliantly comes to a head in exciting and devastating ways, tying together what came before and delivering well-earned character moments (…) Rating: ★★★★ (out of 5)"" , ""The power, the sword, the lore — it’s all here. Give it a chance for a story crafted with care that you won’t soon forget."" , ""A funny-wonderful pop fantasy animated like disco fireworks, fun for kids of all genders and any parents looking for something happy to cry about."" , ""'She-Ra' delivers fantastic sword-and-sorcery action, a compelling bit of world-building and mythology, and some of the most complex and honest portrayals of complicated relationships you’ll find in an animated kids series."" , ""There are plenty of action-packed sequences that allow the princesses to show off their unique abilities in a thrilling way (...) A solid reboot"" , ""It's empowering, inclusive, and a delight (...) 'She-Ra and the Princesses of Power' is going to change a lot of lives for the better (…) Rating: ★★★★½ (out of 5)"" ",Men,Women
132,Trollhunters: Tales of Arcadia,"""The series (...) is well written (...) All of it works (...) because 'Trollhunters' mostly wants to tell a gripping story."" , ""What makes 'Trollhunters' stand out, in the early episodes, is another del Toro trademark: the design of the monsters, who are significantly more interesting to look at and listen to than their human counterparts."" , ""While a simple story drives things along, the impressive visual flair del Toro brings prove compelling for fans of the creator, animation enthusiasts, and, of course, those valued kid viewers."" , ""They have made their series with brio and wit, as much majesty as the budget will allow, and enough suspense and mystery to make one invest in subsequent episodes as they arrive."" , ""The series never fully shakes off the rigid by-the-numbers storytelling, or its underdeveloped characters, but the frequent moments of heart and humor elevate what would otherwise be a cold, slick thing of stone"" , ""'Trollhunters' blends the tropes associated with Guillermo del Toro with the anonymous tics of generic fantasy (…) Rating: ★★ (out of 4)"" , ""[3rd Season Review]: [It] manages to craft an emotionally satisfying final adventure"" ",Men,Men
133,Marvel's Agents of S.H.I.E.L.D.,"""'Agents of S.H.I.E.L.D.' seems more like a Comic-Con afterparty in which not enough people came dressed as superheroes."" , ""Superfans, stop holding your breath: Yes, it’s good."" , ""Whedon’s trademark humor in the midst of action-adventure (...) saves the day as often as the very human, yet very gifted heroes. That protects the fantastical from becoming ridiculous."" , ""'Agents of S.H.I.E.L.D.' doesn’t need to emulate the Marvel movies, but it will need to show pretty quickly that it has at least as much wit and style as its TV comparables."" ",Men,Men
134,Lost in Space,"""[2nd Season Review]: The new season of 'Lost in Space' rocks the house with a high-octane story that will serve binge-watchers well this holiday season. , ""[2nd Season Review]: [It] continues to impress with its staggering special effects, which create an immersive world — or worlds — for the heroes to play around in."" , ""[2nd Season Review]: [It] manages to enhance all of the things that made the first season enjoyable without losing a step (…) Rating: ★★★★½ (out of 5)"" , """"[2nd Season Review]: With an improved character arc for Dr. Smith (...) fans are certain to be pleased overall with the sophomore season."" , ""[2nd Season Review]: While it may track over familiar territory, it's all so glossy and enjoyable that you're happy to go along for the ride."" , ""[2nd Season Review]: [It] plays things too safe to truly stand out but it's still wholesome fun for younger audiences and dedicated sci-fi fans."" , ""It's an old-fashioned, fast-moving, family-friendly adventure yarn (...) Even feeling overcalculated at every turn, the show is fun, occasionally exciting and ever-so-accessible."" , ""A better title for 'Lost in Space' would be 'Mired in Mediocrity' (...) [It] has trouble building interest in its characters or their challenges"" , ""The show finds ways to display how charming and adorable this family is (...) It is the kind of show we desperately need in today’s television landscape."" , ""Though the show's never a chore to watch, it's not until around chapter six that it starts to become a genuine pleasure (...) [Posey] is so convincing that it's easy to buy what she's selling"" , ""The pacing is a pretty interesting paradox, too — is it me, or does nothing happen even though the Robinsons almost die at least four times per episode?"" , ""A wondrous new take on the 1960s series (...) The Robinson family is far from perfect, which makes them more believable characters."" , ""[The cast] put in stellar performances for the most part (...) The technical and visual sides of the productions are hugely impressive (…) Rating: ★★★★ (out of 5)"" , ""As much as I would heartily recommend' Lost in Space' (...) I can't escape the feeling that the reboot casts aside the core elements that drew me to the original series in the first place."" ",Men,Men
135,Raising Dion,"""A clever and easily watchable spin on its genre (...) The show has a clear sense of itself and the story it wants to tell"" , ""[It] gets off to a strong start but quickly falters with poor pacing and lackluster special effects."" , ""A complete mess almost from the first moments it comes on your screen."" , ""Sometimes it’s not the best-made shows that make the best impression (...) What’s ungainly about the series is also what makes it interesting and distinguishes it from the great mass of high-gloss superhero adventures"" , ""[It] isn’t aiming for original artistry at all costs. It wants to entertain, please, and maybe ever-so-slightly inform (...) Maybe it’s all a con, but it’s a cute con that you probably won’t mind falling for."" , ""It has the charm and heart of 'Smallville' (...) It is a fresh twist and the evocation of incorruptible Spielbergian innocence (…) Rating: ★★★ (out of 5)"" ",Men,Men
136,Spartacus,"""It's deliciously, marvelously bad (...) It's also just about the grimiest, nastiest, bloodiest thing you could hope to find on TV"" , ""A slashing look at Roman warfare that trades on Zack Snyder's 300 but has deeper roots in the Xena and Hercules shows produced by Sam Raimi"" , ""There is a story buried underneath the breasts, blood and obscenities, but it doesn't much matter (...) Still, there's no denying that Spartacus does what it sets out to do fairly well"" , ""Spartacus is an exercise in some of the worst writing, acting and directing you'll ever see (or not)"" ",Men,Men
137,The Umbrella Academy,"""[It] has a solid enough premise (...) It feels perpetually as if it’s aggressively working to shock the audience with just how weird it all is"" , ""'The Umbrella Academy' is even weirder than the comic. It’s an absolute must see"" , ""Netflix already has 'A Series of Unfortunate Events' and could have easily titled 'The Umbrella Academy', its new series, 'A Series of Pointless Scenes'."" , ""Refreshing and wonderfully bonkers (...) One of the 'The Umbrella Academy's many strengths is that it understands the importance of a good montage (…) Rating: ★★★★★ (out of 5)"" , ""Overall, 'The Umbrella Academy' is a series that knows what it wants to be (...) It doesn’t care about being great nearly as much as it does about being fun and exciting"" , ""The problem is that the show itself doesn’t seem to understand its greatest strengths. The production design (...) is incredible (...) [It] has the playful kitschiness of Wes Anderson and the overt absurdity of Tim Burton"" , ""With a blend of just enough seriousness to explore painful emotional truths and a sense of playfulness that stylishly hustles the story along, it is perfectly suited for a stuffed weekend of viewing"" , ""Despite such an audacious premise, 'The Umbrella Academy' quickly slumps into mopey mediocrity, unable to render any of the visual imagination the material practically begs for (…) Rating: ★½ (out of 4)"" ",Men,Men
138,You vs. Wild,"""You will never know if you’ve made the smartest choice unless you go back and try all the others, and this, I promise you, will cause you to tire of Grylls’ company even faster than you might under ordinary jungle conditions (…) Rating: ★★ (out of 5)"" , ""This is a throwaway distraction fully aware of its inherent silliness. Approached in the same spirit, it’s a walk on the wild side that just about justifies your time (…) Rating: ★★★ (out of 5)"" ",Men,Men
139,Kingdom,"""[2nd Season Review]: The best zombie property on TV or in film right now gets a more than worthy follow-up in this excellent second season (...) It’s good in a somewhat fresh-feeling way (…) Rating: ★★★★ (out of 5)"" , ""[2nd Season Review]: remains a must-see for anyone craving something new from zombie stories (…) Rating: ★★★★ (out of 5)"" , ""[2nd Season Review]: [It] doesn’t reinvent the wheel, but it does add new twists to the zombie mythology by introducing the quasi-vampiric nature of its flesh-eaters."" , ""So zombie pandemic, 'Game of Thrones' style political intrigue, a fantastic cast of characters and lots of violence—just the kind of thing to take your mind off the fact that you can’t find toilet paper anywhere."" , ""A zombie epic that feels like one of those domino displays that cover the entire floor of a warehouse, dazzling you with the intricacy of its cause-and-effect mechanics until the very end , ""Refreshing and haunting (...) this series is risky programming for people who appreciate the unusual, gory, but imaginative, things in life. Considering the oversaturated state of the market, it is refreshing to see Netflix taking chances."" , ""By far one of the most compelling works to come out of the zombie genre (...) Thanks to strong acting, gripping action and drama (...) [It] is a must watch for horror fans (…) Rating: ★★★★½ (out of 5)"" , ""[Its] structure is engaging, if well-worn, and ultimately satisfying (...) By replacing mortal survival with political survival, these Joseon stories are exploring context-driven ways to give it to them."" , ""[It] dares to show that zombies aren’t just a 20th and 21st-century phenomenon, and we applaud that kind of creative storytelling."" ",Men,Men
140,Ragnarok,"""Think ‘Teen Wolf,’ but starring Thor and Loki at a Norwegian high school. (...) don’t expect any complex storytelling, or a particularly clever twist on familiar Norse mythology. (...) Rating: ★★★ (out of 5)"" , ""'Ragnarok' doesn’t give Marvel anything to worry about (...) [Its] biggest problem is that it keeps stumbling into Twilight-style storytelling, alternating dour and portentous drama with unintentionally comical interludes."" , ""[It] has a fairly shaky grip on its tone, but the YA drama works well in tandem with its smart adaptation of Norse myth"" , ""We hope subsequent episodes are better-paced. But it’s still a novel approach to the usual Norse legend story, and should be fun to watch."" , ""Norse myths and pretty production can’t spice up this tepid teen drama, which proves an international dud for Netflix (…) Rating: ★★ (out of 5)"" , ""Although it has pace issues and makes some dubious screenplay choices, this hybrid between a coming-of-age story and a superhero adventure has some aces up its sleeve."" ",Men,Men
141,The Dragon Prince,"""Part 'Game of Thrones' and one part 'Avatar: The Last Airbender', bursting with dragons, epic action, and only the silliest, most grin-inducing humor (...) These nine episodes pack enough of a punch"" , ""If you can get past these issues with the animation, although I’m sure for many that’s asking more than they’ll be willing to give, there’s a lot to love here (…) Rating: ★★★ (out of 5)"" , ""From the first glimpse of gorgeous, hand-painted backdrops and bizarre hybrid creatures, 'The Dragon Prince’s' heritage is apparent (...) It offers escapism without being blinkered, in a world that’s like ours in the ways that matter"" ",Men,Men
142,Colony,"""You get a great role for Holloway, who has great, sex-charged on-screen chemistry with an equally strong Callies, and the strength of that 'What would you do' premise. And for now, that may be enough. (...) Rating: ★★★ (out of four)"" , ""The superficiality and inconsistencies of 'Colony’s' world might be less noticeable if the characters were deeper and richer, but they’re not terribly compelling."" , ""A well-paced, intriguing drama that isn't without moments of unoriginality."" , ""Characters and details are what hold our interest, almost to the point where we don’t realize that the plot is fairly thin. That works for a while, but eventually the series begins to feel flat, and our interest begins to drift."" , ""Holloway and Callies also take some time growing into their roles (...) By episode four (...) the show finds a nice groove all around."" , ""It's not bad, honestly. (...) Colony has the potential to be great (...) so I give it the benefit of the doubt."" ",Men,Men
143,Timeless,"""It’s smart enough to make the mechanics and facts of its premise just plausible enough."" , ""'Timeless', a good-natured science-fiction adventure (...) manages the not inconsequential trick of being educational dumb fun."" , ""It's goofy, it makes no sense and I was often entertained."" , ""If you could turn back time, apparently, you wouldn’t like it. (...) Rating: ★★½ (out of four)"" , ""The most promising aspect of the series is the challenges it could provide to its cast, if the writing continues to sharpen."" ",Men,Men
144,Black Sails,"""At times 'Black Sails' feels like it wants to be taken seriously as a complicated, premium cable drama (a la 'Game of Thrones'). At other times, it feels more like cheesier (...) (a la 'Spartacus')."" , ""Not even a guilty pleasure, 'Black Sails' is arrrrrr-estingly good."" , ""A winsome opportunist (Luke Arnold), a ruthless captain (Toby Stephens) and a tough-talking tavern owner (Hannah New) are just a few of the colorful characters involved in a brutal power grab in the 18th century Bahamas. (...) Rating: ★★★ (out of 4)"" , ""Better acted and better written than you might have guessed."" , ""The cast is stunning, the music enticing. Yet 'Black Sails' lands too quickly on an island (...) and the best parts of the spectacle (...) run aground."" ",Men,Men
145,Star Trek: Discovery,"""[2nd Season Review]: A delightful Season 2 premiere (...) 'Brother' has everything that the best episodes of 'Trek' have historically had"" , ""[2nd Season Review]: An exciting and fun [first] episode (...) The inclusion of classic characters like Pike and Spock so far seems to work towards the benefit of the show"" , ""[2nd Season Review]: There’s a lot of set-up packed into this premiere, and for now the direction set is worth traveling."" , ""[2nd Season Review]: What’s onscreen in season two feels more consistent, smooth even, but also more distressingly typical"" , ""[2nd Season Review]: Season 2 is the best the show has ever been (...) Bold, gripping and undeniably fun"" , ""There are reasons to hope that 'Discovery' will be promising addition to the 'Trek' canon (...) This voyage has potential."" , ""Even when the plotting is a hunk of Swiss cheese, their psychologies are rock-solid (...) This is light years removed from being a perfect TV show, but it already shows signs of being a great one."" , ""Sonequa Martin-Green is a star (...) The 'Discovery' premiere feels like a failure to me, albeit an entertaining and occasionally epic and ambitious failure"" , ""The new 'Trek' is not bad, but it’s off to a strange start (...) 'Star Trek: Discovery' has every chance from here to become something great"" , ""The new incarnation of the sci-fi classic isn’t perfect, but it’s a fun and imaginative reinvention of the old format"" , ""[It] shines by making space beautiful — but also scary (...) Its engagement with the franchise, and willingness to both celebrate and examine its core values, keep it true to that spirit."" , ""It pays loving tribute to every aspect of the franchise, from the shows to the movies, while decidedly pushing Star Trek firmly into the present of TV."" , ""Live long and prosper, 'Star Trek: Discovery'."" ",Men,Men
146,Black Summer,"""It's great if all you're looking for some mildly riveting jump scares and the tension we've come to expect from the zombie genre, but if it's in-depth storytelling you want, this doesn't make the cut."" , ""In a sense, 'Black Summer' is 'The Walking Dead' without all the bloated melodrama, kooky villains, and pretentious blabbering (...) An easy and effective watch for fans of the genre"" , ""A bleak, dull affair that mistakes camera movement for narrative energy and has about as much life as the walking dead."" , ""[It] succeeds in delivering a relentlessly paced zombie drama that never stays in one place long enough for things to get stale (...) A fulfilling binge."" ",Men,Men
147,Marco Polo,"""While 'Marco Polo' possesses scope, scale and an inordinate amount of exposed skin, the series exhibits only a sporadic pulse."" , ""A middling mess, complete with random accents, slow story and kung fu."" , ""There is a lot of violence in it, and a whole lot of nudity, and there are superb performances, all of which are undermined by ponderously self-important writing and direction."" , ""It would have been nice to see someone take the successful 'Game of Thrones' formula and expand on or enhance it, but 'Marco Polo' ends up skeletonizing it.... The show’s most egregious flaw, though, is its exploitation of female characters."" , ""The show suffers from a profound lack of momentum and meaning, with plots and subplots that are stiff and predictable."" ",Men,Men
148,The Protector,"""The first episode is very engaging and the idea of this ancient battle taking place in modern Istanbul is very intriguing to us."" ",Men,Men
149,Another Life,"""Maybe you'll need another life after wasting the one you've got watching this (...) The writing is atrocious"" , ""It’s inelegantly made and operates less in the realm of ideas than in pure scares. It’s not ineffective, but little in 'Another Life' connects to do much more than the purely visceral."" , ""[A] derivative disappointment (...) Viewers shouldn't expect to see something revolutionary or even logical (…) Rating: ★½ (out of 5)"" , ""'Another Life' will land a decent surprise, or provide an emotional moment that resonates, but its main super-power seems to be making the perils of space travel incredibly boring."" , ""Unfortunately, the series is too messy overall to get away with disguising its problems under a breakneck pace"" , ""There is a much better, more emotionally affecting show lying just beneath the generically futuristic trappings of 'Another Life', but in its first season, it fails to develop its characters (…) Rating: ★★★ (out of 5)"" , ""It’s a frustrating blend of ambitious ideas and familiar episodic execution (...) Despite its potential, 'Another Life' just feels like a generic, humorless space adventure"" , ""A frustratingly amateurish production (...) A third-rate science fiction thriller that wastes its lead actor as well as its premise"" ",Men,Men
150,V Wars,"""[It] isn’t horrible, especially compared to some of the slapped-together sci-fi/horror shows we’ve seen on Netflix (...) The fact that it’s just merely mediocre is almost an achievement."" , ""A fun, freaky B-movie stretched out to series’ length. Not that there’s anything wrong with that."" , ""It's a frustrating thing in that it keeps threatening to burst out of its thicket of genre and television conventions without delivering"" , ""An admirable attempt at making vampires interesting again (…) Rating: ★★★½ (out of 5)"" ",Men,Men
151,Frontier,"""It’s a highly entertaining and satisfying journey (...) The story is vast and at times either slow or confusing. But it always reads as considered and thoughtful--an adventure epic full of characters, not caricatures."" , ""A propulsive, gleefully gory six-episode adventure series."" , ""The series (...) is refreshingly free of pretension, unlike some in the genre. Yes, there are serious themes to be drawn from (...) but you can also feel free to take it as simply an action-packed, rather bloody tale from those frothy preindustrial days."" , ""'Frontier' is moderately entertaining, but consistently unchallenging."" , ""Poor Jason Momoa. The man deserves better than this."" ",Men,Men
152,The Shannara Chronicles,"""Even though it often seems to be merely reworking various fantasy formulas. It moves quickly and does a nice job of weaving together two story lines."" , ""'Shannara' (...) is a standard quest journey in which there are troll, gnomes, living trees and magic books (...) But there’s conviction in the show’s execution."" , ""The world-building is imaginative and impressive, but the mythology is exhausting to keep up with, especially when the reward is basically just a romance-novel version of 'The Lord of the Rings'."" , ""The three central characters are all blandly pretty faces who give continuously stilted line readings and never convincingly embody their respective mythic archetypes, so it's up to the old pros to pick up the slack."" , ""'Shannara Chronicles' whips up plenty of fun millennial magic."" ",Men,Men
153,Black Lightning,"""[It] is a good, satisfying, layered addition to the CW canon."" , ""'Black Lightning' is the perfect superhero show for the moment (...) [It] is slick, smart, and infused with a social conscience that feels especially spot-on"" , ""This show’s race-forward sensibility and its older protagonist (...) give 'Black Lightning' its spark (...) It’s pulpy entertainment with a sense of purpose."" , ""[It] is smart and relevant and full of an attitude that's all its own. It takes its characters and their world seriously, but thus far doesn't take itself too seriously."" , ""[It] is a different kind of superhero than we're used to, who brings a unique and welcome perspective to the ever-proliferating genre (…) Rating: ★★★ (out of 4)"" , ""The entire show crackles with potential energy (...) 'Black Lightning' has found a way to make the typical superhero origin story (...) fresh"" , ""A thrilling, smart and pop culture-savvy series (...) 'Black Lightning' successfully walks the line between advocacy and entertainment"" , ""One of the most fully realized visions of a superhero we’ve seen onscreen to date (...) It understands that real life isn’t that simple"" ",Men,Men
154,The I-Land,"""A bafflingly horrible sci-fi show (...) The dialogue is stilted to the point that one wonders if it wasn’t run through Google Translate."" , ""Netflix's attempt to channel 'Lost' instead yields possibly its worst series to date (...) The conversations are badly composed. The narrative feels gutted. The action is incoherent."" , ""Abysmally bad (...) Forget Disney Plus, it's shows like The I-Land that will be Netflix's downfall."" , ""Netflix's castaway thriller is not a spoof. It really is this bad. (...) catastrophically dire new show. It’s 'Lost' meets 'The Matrix' – only there’s a lot more sharks and sunbathing (...) Rating: ★ (out of 5)"" , ""Is so bad, it can't possibly be real (...) Quite possibly the worst TV show of 2019."" ",Men,Men
155,Betaal,"""[It] is fraught with shoddy production, thin characters, and an over-reliance on cheap tropes (…) Rating: ★★ (out of 5)"" ",Men,Men
156,Marvel's The Defenders,"""It’s poorly paced, and takes far too long for the heroes to team up (...) They lack chemistry as a group (...) [It] will likely please devoted Marvel fans who merely want to see these four in the same room (…) Rating: ★★ (out of 4)"" , ""There is enough joy in watching the sparks fly to make you feel it might just have been worth the wait (…) Rating: ★★★ (out of 5)"" , ""While there are some fun moments and decent action scenes, a lot of the dialogue appears to have been borrowed from a cheesy 90s cop movie"" , ""The first episode (...) offered dedicated fans lots of face-to-face encounters between their favorite characters from across all four shows (...) Marvel has built something unprecedented."" , ""The episodes build, and build, getting faster, funnier and better as they go. If that continues in the back half, 'Defenders' is going to be one hell of a ride."" , ""A workmanlike series that gets the job done with a reasonable amount of energy and a few bursts of flair (...) [It] has notable selling points, chief among them an elegant and fierce performance from Sigourney Weaver."" , ""'The Defenders' runs leaner and meaner (...) than any other Netflix Marvel show (...) The Defenders shine as a team and as individuals"" , ""Weaver is the best part of 'The Defenders' (...) A little clunky at times, but otherwise all is well here, thanks especially to Alexandra (…) Rating: ★★★ (out of 4)"" , ""Each character gets a concise, emotionally resonant individual arc (...) The images are sharper and more inspired, the dialogue is wittier, and the pace is breezier than the usual Marvel-Netflix escapade."" , ""You don’t have to do homework to enjoy 'Marvel’s The Defenders', a nicely crafted series (...) Weaver is great fun to watch (...) The first four of the series’ eight episodes are enjoyable"" ",Men,Men
157,The Letter for the King,"""[It] benefits from the presence of David Wenham but is bound to suffer by comparison with certain fantasy mega-franchises. Younger audiences will probably enjoy it the most."" , ""Lacking urgency and visual splendor, 'The Letter for the King' attempts a high-speed gallop, but ends up flopping on its belly and rolling around a little"" , ""[It] won't offer many surprises to veteran fantasy fans, but they're likely to be won over by the charismatic cast and impressive production values (…) Rating: ★★★ (out of 5)"" , ""The show is watchable enough, and might serve as a useful way into medieval fantasy for younger audiences (...) It seems unlikely, however, that this is the next big fantasy series that Netflix might have hoped for (…) Rating: ★★ (out of 5)"" , ""[It] may be based on an adaptation, but it’s lazily written and performed, making it a big fat dud for the platform (…) Rating: ★★ (out of 5)"" , ""Ultimately it’s just another fantasy series to add to an ever growing list with no means for it to truly stand out the way 'The Witcher' does (…) Rating: ★★½ (out of 5)"" , ""What 'Letter For the King' lacks in originality, it makes up for in the earnestness of its execution (…) Rating: ★★★½ (out of 5)"" , ""A series with a title this simple shouldn’t be so convoluted."" , ""[It] will scratch an itch or three for fantasy mave (...) Give it another episode before you cast your spell of attention elsewhere."" , ""I’m invested enough in the characters that I’d even watch a second season (...), albeit tentatively in the hopes that they’d handle things better the next time around."" ",Men,Men
158,Troy: Fall of a City,"""[It] offers a few striking performances, but not much else new to a classic tale (...) The result is a series more competent than compelling"" , ""A fresh take on one of the greatest tales of them all (…) Rating: ★★★ (out of 5)"" , ""[It] is so far removed from anything Sophocles might recognise, they should have named it The Real Housewives of Ilium."" , ""[A] stylish production (...) An intriguing, relatively faithful version of the 'Iliad'"" , ""[It] struggles to convince in disappointingly tame premiere (...) We know how this is going to end; by the end credits, it remains uncertain whether the series needs eight episodes to show it."" , ""The signs are that this eight-parter will get better and better (…) Rating: ★★★★ (out of 5)"" ",Men,Men
159,Wu Assassins,"""I have a sneaking suspicion that the coolest parts of 'Wu Assassins' are the beginning and the end of its first season while everything in between is mostly there for background noise (…) Rating: ★★★ (out of 5)"" , ""Come the end of episode three, what’s promised is something that, if delivered on, will cement this as a series not only worth watching but one we DESPERATELY need right now"" , ""Netflix’s 'Wu Assassins' whoops ass. I mean that literally (...) Unfortunately, even the most impressive fights can’t fend off a clunky script."" , ""[It] has plenty of potential, but the writing is dour and dull"" ",Men,Men
160,Rick and Morty,"""[4th Season Review]: 'Rick and Morty' is back to hold up a mirror to society, and punch through that mirror to a better world"" , ""[4th Season Review]: The new season of 'Rick and Morty' gets off on the right foot (...) [The first episode is] a familiarly dark, cynical, and very funny half-hour of television"" , ""[4th Season Review]: There's a satisfying blend of the familiar and the novel at work in [the first episode] (...) The wait was worth it"" , ""[4th Season Review]: [One of the strengths of the show is] its ability to endlessly question its own goals and intentions while simultaneously mocking that level of introspection"" , ""[4th Season Review]: If the Season 4 premiere is any indication, we’re in for a helluva ride this season (…) Rating: ★★★★ (out of 5)"" , ""[4th Season Review]: What makes the season three premiere the best start to a 'Rick and Morty' season ever is that it hardly ever stops to take a breath but still sneaks in some great characterization (…) Rating: ★★★★ (out of 5)"" , ""[4th Season Review]: The show's return from a two-year hiatus strengthens some its own greatest hits in a way that proves ""Rick and Morty"" was worth waiting for"" , ""[3rd Season Review]: 'Rick and Morty' remains TV’s best animated comedy (...) [It] has maintained its prickly balance: wild invention, cosmic cock-ups, extreme gore, grounded characters..."" , ""[3rd Season Review]: It looks like the show’s central duo now has a capable third member [Summer] (...) The show so often finds the best way to take something extraordinary and intensify its most boring element"" , ""[3rd Season Review]: Shockingly funny (...) 'Rick and Morty' has always been one of wildest shows on TV. It’s time to admit that it’s also one of the best."" , ""[3rd Season Review]: Undeniably terrific, thrilling, beautifully paced and funny (...) It's impressive as hell that the series is still capable of doing this high wire act three seasons in."" , ""A blistering, demented animated series."" , ""While 'Rick and Morty' isn’t necessarily the stuff dreams are made of, in its buoyant flights of fancy, it does betray a welcome attempt to dream just a little bigger."" , ""The animation (...) is fresh, colorful and as wacky as the script."" , ""'Rick and Morty' won't get us any closer to a workable definition of Harmon's genius, but at least it clarifies that the unhinged quality that 'Community' once had wasn't accidental."" , ""'Rick and Morty' merges high-concept science fiction storytelling with dark humor in a way that finds the best in both"" ",Men,Men
